State,County,Start_Lat,Start_Lng,Junction,Crossing,Traffic_Signal,Stop,Station,Amenity,n_rows,n_acc
FL,Collier,26.219851744503135,-81.63201613893663,0.01955128205128205,0.15833333333333333,0.19326923076923078,0.033012820512820513,0.0,0.020512820512820513,3120,1892
FL,Columbia,30.137396713973033,-82.6634138851197,0.024476904855902093,0.05842874062376629,0.07422029214370311,0.059613106987761545,0.0,0.0011843663639952626,2533,1345
FL,DeSoto,27.194388448641234,-81.8896228560832,0.0,0.0854368932038835,0.04466019417475728,0.019417475728155338,0.0,0.0,515,214
FL,Desoto,27.182427911293974,-81.9019618553076,0.0,0.026829268292682926,0.004878048780487805,0.0,0.0,0.0,410,132
FL,Dixie,29.6221110913918,-83.079044952551,0.0,0.013671875,0.060546875,0.0,0.0,0.0078125,512,184
FL,Duval,30.30828404812659,-81.64876772440054,0.09964983085049557,0.14950442162739627,0.12208439670010089,0.0034423407917383822,0.0018398718024808594,0.0035610421983500503,16849,14495
FL,Escambia,30.496610193806443,-87.277875715771,0.011920283106723785,0.15114546470478674,0.1426708884336003,0.009405848388899237,0.00651890482398957,0.01964984168373999,10738,6465
FL,Flagler,29.50054206670351,-81.21819223320088,0.06601123595505617,0.21067415730337077,0.22893258426966293,0.026685393258426966,0.0,0.008426966292134831,712,412
FL,Franklin,29.815989017300947,-84.78031467908332,0.0,0.047244094488188976,0.0,0.0,0.0,0.0,127,29
FL,Gadsden,30.5784973800424,-84.58067751639408,0.026483050847457626,0.02065677966101695,0.04184322033898305,0.006355932203389831,0.0,0.0,1888,977
FL,Gilchrist,29.71768253196767,-82.81506652968395,0.0,0.0,0.033602150537634407,0.0,0.0,0.008064516129032258,744,227
FL,Glades,26.903472570417684,-81.20546421384533,0.0,0.05154639175257732,0.0979381443298969,0.0,0.0,0.0,194,68
FL,Gulf,29.96552675903245,-85.2639994675471,0.0,0.07075471698113207,0.009433962264150943,0.0,0.0,0.018867924528301886,212,52
